Model Pair,Grid ID,Config ID,Run ID,System Prompt,Context,Fog of War,Grid,Bucket,Sub-stratum,Pay4Partner,Contract Type,Total Turns,Format Errors,Format Errors P-Red,Format Errors P-Blue,Format Errors Judge,Non-Cooperative Baseline P-Red,Non-Cooperative Baseline P-Blue,Joint Reward,Reward P-Red,Reward P-Blue,Gini,Max Possible Reward,Reached Goal P-Red,Reached Goal P-Blue,Total Trades Proposed,Total Trades Proposed P-Red,Total Trades Proposed P-Blue,Total Trades Accepted,Total Trades Accepted P-Red,Total Trades Accepted P-Blue,Total Trades Rejected,Total Trades Rejected P-Red,Total Trades Rejected P-Blue,amount_received_by_P-Red_from_trades,amount_received_by_P-Blue_from_trades,total_trades_failed,Total P4P Arrangements Proposed,Total P4P Arrangements Proposed P-Red,Total P4P Arrangements Proposed P-Blue,Total P4P Arrangements Accepted,Total P4P Arrangements Accepted P-Red,Total P4P Arrangements Accepted P-Blue,Total P4P Arrangements Rejected,Total P4P Arrangements Rejected P-Red,Total P4P Arrangements Rejected P-Blue,Total P4P Promises Kept,Total P4P Promises Kept P-Red,Total P4P Promises Kept P-Blue,Total P4P Promises Broken,Total P4P Promises Broken P-Red,Total P4P Promises Broken P-Blue,Total P4P Amounts Promised to Receive,Total P4P Amounts Promised to Receive P-Red,Total P4P Amounts Promised to Receive P-Blue,Total P4P Amounts Received,Total P4P Amounts Received P-Red,Total P4P Amounts Received P-Blue,contract_accepted,contract_negotiaion_length,num_tiles_in_contract,num_tiles_promised_to_receive_from_contract_P-Red,num_tiles_promised_to_receive_from_contract_P-Blue,moves_made_under_strict_contract_P-Red,moves_made_under_strict_contract_P-Blue,contract_moves_blocked_by_partner_shortfall_P-Red,contract_moves_blocked_by_partner_shortfall_P-Blue,points_for_completion_promised_to_P-Red,points_for_completion_promised_to_P-Blue,parity_trades_offered_P-Red,parity_trades_offered_P-Blue,parity_trades_accepted_P-Red,parity_trades_accepted_P-Blue,parity_trades_rejected_P-Red,parity_trades_rejected_P-Blue,extractive_trades_offered_P-Red,extractive_trades_offered_P-Blue,extractive_trades_accepted_P-Red,extractive_trades_accepted_P-Blue,extractive_trades_rejected_P-Red,extractive_trades_rejected_P-Blue,concessionary_trades_offered_P-Red,concessionary_trades_offered_P-Blue,concessionary_trades_accepted_P-Red,concessionary_trades_accepted_P-Blue,concessionary_trades_rejected_P-Red,concessionary_trades_rejected_P-Blue,B Min Trades Path,B Max Trades Path,R Min Trades Path,R Max Trades Path,Trade Asymmetry
LLAMA_SCOUT-LLAMA_SCOUT,1,ctx1_fog00_p4pfalse_contract_strict_selfish11,20260120_115159_424725_d225b7bc,LLAMA_SCOUT-LLAMA_SCOUT,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,strict,6,0,0,0,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
LLAMA_SCOUT-LLAMA_SCOUT,1,ctx1_fog00_p4pfalse_contract_tile_with_judge_implementation_selfish11,20260120_115220_673895_2cbc9d04,LLAMA_SCOUT-LLAMA_SCOUT,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,tile_with_judge_implementation,6,0,0,0,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
LLAMA_SCOUT-LLAMA_SCOUT,1,ctx1_fog00_p4ptrue_contract_contract_for_finishing_selfish11,20260120_115210_401215_7d7ee778,LLAMA_SCOUT-LLAMA_SCOUT,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,contract_for_finishing,6,0,0,0,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
LLAMA_SCOUT-LLAMA_SCOUT,1,ctx1_fog00_p4ptrue_contract_none_selfish11,20260120_115142_935811_2a2c0fb7,LLAMA_SCOUT-LLAMA_SCOUT,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,,8,0,0,0,0,70,70,70,70,0,0.5,140,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
LLAMA_SCOUT-LLAMA_SCOUT,1,ctx1_fog00_p4ptrue_contract_strict_selfish11,20260120_115200_837957_57036084,LLAMA_SCOUT-LLAMA_SCOUT,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,strict,6,0,0,0,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
LLAMA_SCOUT-LLAMA_SCOUT,1,ctx1_fog00_p4ptrue_contract_tile_with_judge_implementation_selfish11,20260120_115232_529424_115839c4,LLAMA_SCOUT-LLAMA_SCOUT,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,tile_with_judge_implementation,8,1,0,1,0,70,70,140,75,65,0.03571428571428581,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
LLAMA_SCOUT-LLAMA_SCOUT,2,ctx1_fog00_p4pfalse_contract_contract_for_finishing_selfish11,20260120_115306_999569_96ff291f,LLAMA_SCOUT-LLAMA_SCOUT,True,"[False, False]","[['G', 'R', 'R', 'B'], ['B', 'R', 'R', 'R'], ['B', 'R', 'B', 'R'], ['B', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,contract_for_finishing,7,0,0,0,0,70,70,140,70,70,0.0,140,True,True,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
LLAMA_SCOUT-LLAMA_SCOUT,2,ctx1_fog00_p4pfalse_contract_none_selfish11,20260120_115232_829613_d81d4c94,LLAMA_SCOUT-LLAMA_SCOUT,True,"[False, False]","[['G', 'R', 'R', 'B'], ['B', 'R', 'R', 'R'], ['B', 'R', 'B', 'R'], ['B', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,,7,0,0,0,0,70,70,140,70,70,0.0,140,True,True,3,2,1,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
LLAMA_SCOUT-LLAMA_SCOUT,2,ctx1_fog00_p4pfalse_contract_strict_selfish11,20260120_115301_207815_318a3ad8,LLAMA_SCOUT-LLAMA_SCOUT,True,"[False, False]","[['G', 'R', 'R', 'B'], ['B', 'R', 'R', 'R'], ['B', 'R', 'B', 'R'], ['B', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,strict,6,0,0,0,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3.0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
LLAMA_SCOUT-LLAMA_SCOUT,2,ctx1_fog00_p4pfalse_contract_tile_with_judge_implementation_selfish11,20260120_115309_297379_d34c3e20,LLAMA_SCOUT-LLAMA_SCOUT,True,"[False, False]","[['G', 'R', 'R', 'B'], ['B', 'R', 'R', 'R'], ['B', 'R', 'B', 'R'], ['B', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,tile_with_judge_implementation,6,0,0,0,0,70,70,140,70,70,0.0,140,True,True,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
LLAMA_SCOUT-LLAMA_SCOUT,2,ctx1_fog00_p4ptrue_contract_contract_for_finishing_selfish11,20260120_115309_274571_60f3b15c,LLAMA_SCOUT-LLAMA_SCOUT,True,"[False, False]","[['G', 'R', 'R', 'B'], ['B', 'R', 'R', 'R'], ['B', 'R', 'B', 'R'], ['B', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,contract_for_finishing,8,0,0,0,0,70,70,140,74,66,0.02857142857142847,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
LLAMA_SCOUT-LLAMA_SCOUT,2,ctx1_fog00_p4ptrue_contract_none_selfish11,20260120_115259_706614_c43aa813,LLAMA_SCOUT-LLAMA_SCOUT,True,"[False, False]","[['G', 'R', 'R', 'B'], ['B', 'R', 'R', 'R'], ['B', 'R', 'B', 'R'], ['B', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,,8,0,0,0,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
LLAMA_SCOUT-LLAMA_SCOUT,2,ctx1_fog00_p4ptrue_contract_strict_selfish11,20260120_115304_556373_46ac6014,LLAMA_SCOUT-LLAMA_SCOUT,True,"[False, False]","[['G', 'R', 'R', 'B'], ['B', 'R', 'R', 'R'], ['B', 'R', 'B', 'R'], ['B', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,strict,6,0,0,0,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,10.0,5,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
LLAMA_SCOUT-LLAMA_SCOUT,2,ctx1_fog00_p4ptrue_contract_tile_with_judge_implementation_selfish11,20260120_115339_704161_ff08bab3,LLAMA_SCOUT-LLAMA_SCOUT,True,"[False, False]","[['G', 'R', 'R', 'B'], ['B', 'R', 'R', 'R'], ['B', 'R', 'B', 'R'], ['B', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,tile_with_judge_implementation,10,0,0,0,0,70,70,130,65,65,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
LLAMA_SCOUT-LLAMA_SCOUT,3,ctx1_fog00_p4pfalse_contract_contract_for_finishing_selfish11,20260120_115433_887400_df5fe583,LLAMA_SCOUT-LLAMA_SCOUT,True,"[False, False]","[['G', 'B', 'R', 'R'], ['R', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,contract_for_finishing,6,0,0,0,0,70,70,140,70,70,0.0,140,True,True,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,,0,0,0,0,0,0,5,5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
LLAMA_SCOUT-LLAMA_SCOUT,3,ctx1_fog00_p4pfalse_contract_none_selfish11,20260120_115356_509437_7a4e11b0,LLAMA_SCOUT-LLAMA_SCOUT,True,"[False, False]","[['G', 'B', 'R', 'R'], ['R', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,,6,0,0,0,0,70,70,140,70,70,0.0,140,True,True,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
LLAMA_SCOUT-LLAMA_SCOUT,3,ctx1_fog00_p4pfalse_contract_strict_selfish11,20260120_115422_020021_0d55f422,LLAMA_SCOUT-LLAMA_SCOUT,True,"[False, False]","[['G', 'B', 'R', 'R'], ['R', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,strict,6,0,0,0,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8.0,5,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
LLAMA_SCOUT-LLAMA_SCOUT,3,ctx1_fog00_p4pfalse_contract_tile_with_judge_implementation_selfish11,20260120_115440_815622_3e5448b7,LLAMA_SCOUT-LLAMA_SCOUT,True,"[False, False]","[['G', 'B', 'R', 'R'], ['R', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,tile_with_judge_implementation,7,0,0,0,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
LLAMA_SCOUT-LLAMA_SCOUT,3,ctx1_fog00_p4ptrue_contract_contract_for_finishing_selfish11,20260120_115438_997601_61147007,LLAMA_SCOUT-LLAMA_SCOUT,True,"[False, False]","[['G', 'B', 'R', 'R'], ['R', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,contract_for_finishing,9,0,0,0,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
LLAMA_SCOUT-LLAMA_SCOUT,3,ctx1_fog00_p4ptrue_contract_none_selfish11,20260120_115421_391249_027b6e02,LLAMA_SCOUT-LLAMA_SCOUT,True,"[False, False]","[['G', 'B', 'R', 'R'], ['R', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,,6,0,0,0,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
