Model Pair,Grid ID,Config ID,Run ID,System Prompt,Context,Fog of War,Grid,Bucket,Sub-stratum,Pay4Partner,Contract Type,Total Turns,Format Errors,Format Errors P-Red,Format Errors P-Blue,Non-Cooperative Baseline P-Red,Non-Cooperative Baseline P-Blue,Joint Reward,Reward P-Red,Reward P-Blue,Gini,Max Possible Reward,Reached Goal P-Red,Reached Goal P-Blue,Total Trades Proposed,Total Trades Proposed P-Red,Total Trades Proposed P-Blue,Total Trades Accepted,Total Trades Accepted P-Red,Total Trades Accepted P-Blue,Total Trades Rejected,Total Trades Rejected P-Red,Total Trades Rejected P-Blue,amount_received_by_P-Red_from_trades,amount_received_by_P-Blue_from_trades,total_trades_failed,Total P4P Arrangements Proposed,Total P4P Arrangements Proposed P-Red,Total P4P Arrangements Proposed P-Blue,Total P4P Arrangements Accepted,Total P4P Arrangements Accepted P-Red,Total P4P Arrangements Accepted P-Blue,Total P4P Arrangements Rejected,Total P4P Arrangements Rejected P-Red,Total P4P Arrangements Rejected P-Blue,Total P4P Promises Kept,Total P4P Promises Kept P-Red,Total P4P Promises Kept P-Blue,Total P4P Promises Broken,Total P4P Promises Broken P-Red,Total P4P Promises Broken P-Blue,Total P4P Amounts Promised to Receive,Total P4P Amounts Promised to Receive P-Red,Total P4P Amounts Promised to Receive P-Blue,Total P4P Amounts Received,Total P4P Amounts Received P-Red,Total P4P Amounts Received P-Blue,contract_accepted,contract_negotiaion_length,num_tiles_in_contract,num_tiles_promised_to_receive_from_contract_P-Red,num_tiles_promised_to_receive_from_contract_P-Blue,moves_made_under_strict_contract_P-Red,moves_made_under_strict_contract_P-Blue,contract_moves_blocked_by_partner_shortfall_P-Red,contract_moves_blocked_by_partner_shortfall_P-Blue,points_for_completion_promised_to_P-Red,points_for_completion_promised_to_P-Blue,parity_trades_offered_P-Red,parity_trades_offered_P-Blue,parity_trades_accepted_P-Red,parity_trades_accepted_P-Blue,parity_trades_rejected_P-Red,parity_trades_rejected_P-Blue,extractive_trades_offered_P-Red,extractive_trades_offered_P-Blue,extractive_trades_accepted_P-Red,extractive_trades_accepted_P-Blue,extractive_trades_rejected_P-Red,extractive_trades_rejected_P-Blue,concessionary_trades_offered_P-Red,concessionary_trades_offered_P-Blue,concessionary_trades_accepted_P-Red,concessionary_trades_accepted_P-Blue,concessionary_trades_rejected_P-Red,concessionary_trades_rejected_P-Blue,B Min Trades Path,B Max Trades Path,R Min Trades Path,R Max Trades Path,Trade Asymmetry
FOUR_1-FOUR_1,1,ctx1_fog00_p4pfalse_contract_strict_selfish11,20260120_130448_315524_fe325017,default,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,strict,6,0,0,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
FOUR_1-FOUR_1,1,ctx1_fog00_p4pfalse_contract_tile_with_judge_implementation_selfish11,20260120_130543_954401_30274a52,default,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,tile_with_judge_implementation,6,0,0,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
FOUR_1-FOUR_1,1,ctx1_fog00_p4ptrue_contract_contract_for_finishing_selfish11,20260120_130530_778012_6acd6e6c,default,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,contract_for_finishing,6,0,0,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
FOUR_1-FOUR_1,1,ctx1_fog00_p4ptrue_contract_none_selfish11,20260120_130420_054741_3a97da9f,default,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,,6,0,0,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
FOUR_1-FOUR_1,1,ctx1_fog00_p4ptrue_contract_strict_selfish11,20260120_130501_961458_7c7ba28c,default,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,strict,6,0,0,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
FOUR_1-FOUR_1,1,ctx1_fog00_p4ptrue_contract_tile_with_judge_implementation_selfish11,20260120_130557_558046_a60a3c76,default,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['R', 'R', 'R', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,tile_with_judge_implementation,6,0,0,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
FOUR_1-FOUR_1,2,ctx1_fog00_p4pfalse_contract_contract_for_finishing_selfish11,20260120_130713_073130_cdc6aeed,default,True,"[False, False]","[['G', 'R', 'R', 'B'], ['B', 'R', 'R', 'R'], ['B', 'R', 'B', 'R'], ['B', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,contract_for_finishing,6,0,0,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
FOUR_1-FOUR_1,2,ctx1_fog00_p4pfalse_contract_none_selfish11,20260120_130608_164136_afb4bdd3,default,True,"[False, False]","[['G', 'R', 'R', 'B'], ['B', 'R', 'R', 'R'], ['B', 'R', 'B', 'R'], ['B', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,,6,0,0,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
FOUR_1-FOUR_1,2,ctx1_fog00_p4pfalse_contract_strict_selfish11,20260120_130656_146597_059da6ee,default,True,"[False, False]","[['G', 'R', 'R', 'B'], ['B', 'R', 'R', 'R'], ['B', 'R', 'B', 'R'], ['B', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,strict,6,0,0,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
FOUR_1-FOUR_1,2,ctx1_fog00_p4pfalse_contract_tile_with_judge_implementation_selfish11,20260120_130756_516062_d0f38b02,default,True,"[False, False]","[['G', 'R', 'R', 'B'], ['B', 'R', 'R', 'R'], ['B', 'R', 'B', 'R'], ['B', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,tile_with_judge_implementation,6,0,0,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
FOUR_1-FOUR_1,2,ctx1_fog00_p4ptrue_contract_contract_for_finishing_selfish11,20260120_130719_887699_e0f7d004,default,True,"[False, False]","[['G', 'R', 'R', 'B'], ['B', 'R', 'R', 'R'], ['B', 'R', 'B', 'R'], ['B', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,contract_for_finishing,6,0,0,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
FOUR_1-FOUR_1,2,ctx1_fog00_p4ptrue_contract_none_selfish11,20260120_130651_137452_bb0c3368,default,True,"[False, False]","[['G', 'R', 'R', 'B'], ['B', 'R', 'R', 'R'], ['B', 'R', 'B', 'R'], ['B', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,,6,0,0,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
FOUR_1-FOUR_1,2,ctx1_fog00_p4ptrue_contract_strict_selfish11,20260120_130656_765272_58965bcc,default,True,"[False, False]","[['G', 'R', 'R', 'B'], ['B', 'R', 'R', 'R'], ['B', 'R', 'B', 'R'], ['B', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,strict,6,0,0,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
FOUR_1-FOUR_1,2,ctx1_fog00_p4ptrue_contract_tile_with_judge_implementation_selfish11,20260120_130818_595984_cd87cc84,default,True,"[False, False]","[['G', 'R', 'R', 'B'], ['B', 'R', 'R', 'R'], ['B', 'R', 'B', 'R'], ['B', 'B', 'B', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,tile_with_judge_implementation,8,0,0,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
FOUR_1-FOUR_1,3,ctx1_fog00_p4pfalse_contract_contract_for_finishing_selfish11,20260120_130939_097400_f1cbba60,default,True,"[False, False]","[['G', 'B', 'R', 'R'], ['R', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,contract_for_finishing,6,0,0,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
FOUR_1-FOUR_1,3,ctx1_fog00_p4pfalse_contract_none_selfish11,20260120_130832_074896_39851b8e,default,True,"[False, False]","[['G', 'B', 'R', 'R'], ['R', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,,6,0,0,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
FOUR_1-FOUR_1,3,ctx1_fog00_p4pfalse_contract_strict_selfish11,20260120_130918_315693_39099372,default,True,"[False, False]","[['G', 'B', 'R', 'R'], ['R', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,strict,6,0,0,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
FOUR_1-FOUR_1,3,ctx1_fog00_p4pfalse_contract_tile_with_judge_implementation_selfish11,20260120_131005_228076_db0bd7f4,default,True,"[False, False]","[['G', 'B', 'R', 'R'], ['R', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,tile_with_judge_implementation,6,0,0,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
FOUR_1-FOUR_1,3,ctx1_fog00_p4ptrue_contract_contract_for_finishing_selfish11,20260120_130939_477804_2bbe7324,default,True,"[False, False]","[['G', 'B', 'R', 'R'], ['R', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,contract_for_finishing,6,0,0,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
FOUR_1-FOUR_1,3,ctx1_fog00_p4ptrue_contract_none_selfish11,20260120_130909_612848_3f20586b,default,True,"[False, False]","[['G', 'B', 'R', 'R'], ['R', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,,6,0,0,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
FOUR_1-FOUR_1,3,ctx1_fog00_p4ptrue_contract_strict_selfish11,20260120_130938_527351_6bedc110,default,True,"[False, False]","[['G', 'B', 'R', 'R'], ['R', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,strict,6,0,0,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
FOUR_1-FOUR_1,3,ctx1_fog00_p4ptrue_contract_tile_with_judge_implementation_selfish11,20260120_131031_974215_153db955,default,True,"[False, False]","[['G', 'B', 'R', 'R'], ['R', 'B', 'B', 'B'], ['R', 'R', 'B', 'B'], ['B', 'R', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),True,tile_with_judge_implementation,6,0,0,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
FOUR_1-FOUR_1,4,ctx1_fog00_p4pfalse_contract_contract_for_finishing_selfish11,20260120_131251_126490_3261952b,default,True,"[False, False]","[['G', 'B', 'B', 'B'], ['R', 'R', 'R', 'B'], ['R', 'R', 'R', 'B'], ['B', 'B', 'R', 'G']]",Independent (Both have optimal paths),Independent (Both have optimal paths),False,contract_for_finishing,6,0,0,0,70,70,140,70,70,0.0,140,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
